PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPK-60020INISOIL`  SP 20 for IS-OIL 6.00`  I`  20130531`  740`  20110822`  135707`  600`  IS-OIL
SAPK-60020INISPSCA`  SP 20 for IS-PS-CA 6.00`  I`  20130531`  740`  20110822`  135708`  600`  IS-PS-CA
SAPK-60020INISUT`  SP 20 for IS-UT 6.00`  I`  20130531`  740`  20110822`  135709`  600`  IS-UT
SAPK-60020INLSOFE`  LSOFE 600: Support Package 0020`  I`  20130531`  740`  20110804`  135710`  600`  LSOFE
SAPK-60021INERECRUIT`  ERECRUIT 600: Support Package 0021`  I`  20130531`  740`  20120307`  135730`  600`  ERECRUIT
SAPK-60832INEAHR`  EA-HR 608: SP 0032`  I`  20170127`  751`  201`  152614`  608`  EA-HR
SAPK-60021INFICAX`  SP 21 for FI-CAX 6.00`  I`  20130531`  740`  20120305`  135732`  600`  FI-CAX
SAPK-60021ININSURANC`  SP 21 for INSURANCE 6.00`  I`  20130531`  740`  20120305`  135733`  600`  INSURANCE
SAPK-60021INISH`  SP 21 for IS-H 6.00`  I`  20110810`  702`  20100226`  150227`  `
SAPK-60021INISM`  SP 21 for IS-M 6.00`  I`  20130531`  740`  20120305`  135736`  600`  IS-M
SAPK-60021INISOIL`  SP 21 for IS-OIL 6.00`  I`  20130531`  740`  20120305`  135737`  600`  IS-OIL
SAPK-60021INISPSCA`  SP 21 for IS-PS-CA 6.00`  I`  20130531`  740`  20120305`  135738`  600`  IS-PS-CA
SAPK-60021INISUT`  SP 21 for IS-UT 6.00`  I`  20130531`  740`  20120305`  135739`  600`  IS-UT
SAPK-60021INLSOFE`  LSOFE 600: Support Package 0021`  I`  20130531`  740`  20120307`  135740`  600`  LSOFE
SAPK-60022INERECRUIT`  ERECRUIT 600: Support Package 0022`  I`  20130531`  740`  20120917`  135755`  600`  ERECRUIT
