UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
SAP594|12/08/2020|18:21:41|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP595|12/08/2020|18:52:16|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP595|12/08/2020|18:52:16|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP595|12/08/2020|18:52:16|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/18/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP596|12/09/2020|10:27:31|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP596|12/09/2020|10:27:31|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP596|12/09/2020|10:27:31|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/19/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP596|12/09/2020|15:03:21|SAP   |有效期至：已更改|12/19/2020                                                                                                                                                                                                                                                   |              |00/00/0000                                                                                                                                                                                                                                                   |              |SU01```````
SAP597|12/09/2020|11:37:09|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP597|12/09/2020|11:37:09|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP597|12/09/2020|11:37:09|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |01/09/2021                                                                                                                                                                                                                                                   |              |SU01```````
SAP598|12/09/2020|14:06:02|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP598|12/09/2020|14:06:02|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP599|12/09/2020|14:40:04|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP599|12/09/2020|14:40:04|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP600|12/09/2020|15:25:02|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP600|12/09/2020|15:25:02|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP600|12/09/2020|15:25:02|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/19/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP601|12/09/2020|17:09:32|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP601|12/09/2020|17:09:32|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP602|12/09/2020|19:34:31|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP602|12/09/2020|19:34:31|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP602|12/09/2020|19:34:31|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/19/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP602|12/10/2020|16:23:44|SAP   |有效期至：已更改|12/19/2020                                                                                                                                                                                                                                                   |              |00/00/0000                                                                                                                                                                                                                                                   |              |SU01```````
SAP603|12/09/2020|22:21:21|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP603|12/09/2020|22:21:21|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP604|12/10/2020|14:57:26|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP604|12/10/2020|14:57:26|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP605|12/10/2020|15:06:50|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP605|12/10/2020|15:06:50|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP606|12/11/2020|10:03:11|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP606|12/11/2020|10:03:11|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP606|12/11/2020|10:03:11|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/21/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP606|12/12/2020|10:55:01|SAP606|锁定已更改      |                                                                                                                                                                                                                                                            0|未锁定        |                                                                                                                                                                                                                                                          128|错误的登录锁定|KRNL```````
SAP606|12/12/2020|12:28:06|SAP   |锁定已更改      |                                                                                                                                                                                                                                                          128|错误的登录锁定|                                                                                                                                                                                                                                                            0|未锁定        |SU01```````
